chunk_id,timestamp_utc,category,subtopic,domain,tag
b8225fe630f687616c57c0c61d88075821c87986e591f09cd6fb8c337a3088c4,2024-07-01T18:16:07.975000+00:00,Docs_And_Planning,normativa electoral,political_analysis,votación
b8225fe630f687616c57c0c61d88075821c87986e591f09cd6fb8c337a3088c4,2024-07-01T18:16:07.975000+00:00,Docs_And_Planning,normativa electoral,political_analysis,identificación de votantes
b8225fe630f687616c57c0c61d88075821c87986e591f09cd6fb8c337a3088c4,2024-07-01T18:16:07.975000+00:00,Docs_And_Planning,normativa electoral,political_analysis,voto postal
b8225fe630f687616c57c0c61d88075821c87986e591f09cd6fb8c337a3088c4,2024-07-01T18:16:07.975000+00:00,Docs_And_Planning,normativa electoral,political_analysis,normativa electoral
c41620592b1fe23fad449b134cfd521842d98a63863397fce7874d6be55c2e70,2024-07-01T18:19:58.287000+00:00,Docs_And_Planning,elecciones universitarias,voting_technology,votación
c41620592b1fe23fad449b134cfd521842d98a63863397fce7874d6be55c2e70,2024-07-01T18:19:58.287000+00:00,Docs_And_Planning,elecciones universitarias,voting_technology,elecciones
c41620592b1fe23fad449b134cfd521842d98a63863397fce7874d6be55c2e70,2024-07-01T18:19:58.287000+00:00,Docs_And_Planning,elecciones universitarias,voting_technology,tecnología
c41620592b1fe23fad449b134cfd521842d98a63863397fce7874d6be55c2e70,2024-07-01T18:19:58.287000+00:00,Docs_And_Planning,elecciones universitarias,voting_technology,universidades
c41620592b1fe23fad449b134cfd521842d98a63863397fce7874d6be55c2e70,2024-07-01T18:19:58.287000+00:00,Docs_And_Planning,elecciones universitarias,voting_technology,identificación
f05ab484cdf74c9e4884ac351fe4e2d7ddbe11550d90e2c707748eeb781270b4,2024-07-01T18:27:42.856000+00:00,Business,tecnología educativa,electronic_voting,votación electrónica
f05ab484cdf74c9e4884ac351fe4e2d7ddbe11550d90e2c707748eeb781270b4,2024-07-01T18:27:42.856000+00:00,Business,tecnología educativa,electronic_voting,gestión de datos
f05ab484cdf74c9e4884ac351fe4e2d7ddbe11550d90e2c707748eeb781270b4,2024-07-01T18:27:42.856000+00:00,Business,tecnología educativa,electronic_voting,Licenciatura en Datos
f05ab484cdf74c9e4884ac351fe4e2d7ddbe11550d90e2c707748eeb781270b4,2024-07-01T18:27:42.856000+00:00,Business,tecnología educativa,electronic_voting,graduados
e4352395820b187ec6bf2eb2d7110d99f703ace1deb3e91ca71db6a32fdf97dd,2024-07-01T18:27:42.856000+00:00,Business,tecnología electoral,electronic_voting,votación electrónica
